product_key,country,current_price_usd,siamese_fair_price_usd,lightgbm_fair_price_usd,combined_fair_price_usd,siamese_gap_usd,lightgbm_gap_usd,combined_gap_usd,siamese_action,lightgbm_action,combined_action,siamese_confidence,lightgbm_confidence,combined_confidence,model_action_agreement
"エア ジョーダン 6 レトロ x パリ サンジェルマン (psg) ""metallic silver""||footwear||メンズシューズ||メタリックシルバー/ピュアプラチナム/オイルグレー/メタリックシルバー||men",JP,216.678,,188.2514,188.2514,,28.4266,28.4266,,lower_price,lower_price,,0.5032,0.5032,na
nike air max 270||footwear||older kids' shoe||black/black||boys|girls,FI,130.7891,,102.1577,102.1577,,28.6314,28.6314,,lower_price,lower_price,,0.4996,0.4996,na
ナイキ ランニング ディビジョン||apparel||ウィメンズ ランニングジャケット||ブラック||women,JP,131.186,,102.8327,102.8327,,28.3533,28.3533,,lower_price,lower_price,,0.5045,0.5045,na
atlético madrid strike||apparel||men's nike dri-fit football short-sleeve top||dark purple dust/vibrant yellow/vibrant yellow||men,SI,54.4891,,83.1434,83.1434,,-28.6543,-28.6543,,raise_price,raise_price,,0.4992,0.4992,na
nike sb||apparel||fleece skate crew||black/white||men|women,US,85.0,,56.6636,56.6636,,28.3364,28.3364,,lower_price,lower_price,,0.5048,0.5048,na
nike||apparel||women's slider softball shorts||team black/team white||women,US,37.0,,65.342,65.342,,-28.342,-28.342,,raise_price,raise_price,,0.5047,0.5047,na
chelsea f.c. tech||apparel||men's nike total 90 football fleece joggers||black/field silver||men,FI,125.3391,,96.3715,96.3715,,28.9676,28.9676,,lower_price,lower_price,,0.4938,0.4938,na
nike romaleos 4||footwear||weightlifting shoes||black/metallic gold/white/metallic gold||men|women,US,200.0,,171.4373,171.4373,,28.5627,28.5627,,lower_price,lower_price,,0.5008,0.5008,na
chelsea f.c. 2025/26 stadium away||apparel||older kids' nike dri-fit football replica shirt||phantom/speed red/galactic jade/galactic jade||boys|girls,SI,87.1891,,58.4831,58.4831,,28.706,28.706,,lower_price,lower_price,,0.4983,0.4983,na
chelsea f.c. 2025/26 stadium home||apparel||older kids' nike dri-fit football replica shirt||rush blue/white/speed red/white||boys|girls,SI,87.1891,,58.4831,58.4831,,28.706,28.706,,lower_price,lower_price,,0.4983,0.4983,na
ナイキ スポーツウェア フェニックス フリース||apparel||ウィメンズ ルーズ ハイウエスト 5cm ロゴ ショートパンツ||プラチナムバイオレット/ライトオールウッドブラウン/スモーキーモーブ||women,JP,48.9033,,77.2621,77.2621,,-28.3588,-28.3588,,raise_price,raise_price,,0.5044,0.5044,na
